IDNO;age;formation;dom_Typo_panel
CH01;2;3;B
CH02;2;5;-99
CH10003;4;6;B
CH10004;3;6;D
CH10016;2;6;A
CH10021;4;3;C
CH10024;1;4;A
CH10027;4;3;-99
CH10029;4;3;-99
CH10038;4;4;D
CH10039;4;3;B
CH10057;1;4;D
CH10063;1;3;D
CH10064;3;5;D
CH10065;1;3;D
CH10068;3;3;B
CH1007;2;6;A
CH10072;3;-99;F
CH10074;3;3;D
CH10080;2;5;A
CH10084;5;3;F
CH10085;3;5;F
CH10086;4;5;B
CH10089;3;2;F
CH10092;2;3;D
CH101;3;6;C
CH10106;3;3;B
CH10113;5;3;-99
CH10121;4;4;C
CH10122;4;3;C
CH10128;2;3;A
CH10141;4;3;D
CH10148;4;4;F
CH1015;3;5;C
CH10160;5;3;D
CH10166;3;3;B
CH10167;5;3;B
CH10169;4;3;D
CH1017;1;3;C
CH10171;2;5;A
CH10175;4;2;A
CH10177;3;5;A
CH1018;2;4;A
CH10200;3;3;B
CH10203;3;6;C
CH10207;3;5;B
CH10209;2;3;D
CH1021;1;5;F
CH10218;2;6;A
CH1022;3;3;F
CH10223;2;6;A
CH10228;4;6;B
CH10229;2;4;C
CH10232;5;4;B
CH10242;3;4;B
CH10243;3;5;A
CH10245;3;-99;A
CH1027;3;3;D
CH10277;1;6;A
CH10278;1;3;A
CH10281;3;5;D
CH10283;3;3;F
CH10291;4;3;F
CH10294;4;3;C
CH10295;4;3;F
CH10296;3;5;B
CH10301;4;5;A
CH10303;1;3;B
CH10306;3;2;D
CH1031;1;5;C
CH10314;3;1;A
CH10317;2;5;F
CH10320;2;3;F
CH10321;2;6;D
CH10328;5;6;C
CH10331;4;3;A
CH10332;3;3;A
CH10342;5;2;D
CH10352;4;6;D
CH10357;4;5;F
CH10358;2;5;A
CH10359;1;3;A
CH10360;5;6;D
CH10361;1;4;B
CH10362;2;3;D
CH1037;3;5;C
CH10370;2;5;F
CH10371;5;5;A
CH10375;2;3;A
CH10381;3;5;A
CH10387;1;5;A
CH10390;4;6;C
CH10396;3;4;F
CH10399;4;6;C
CH10401;4;3;A
CH10419;4;5;A
CH1042;1;5;B
CH10420;4;5;-99
CH10421;5;3;A
CH10422;5;6;B
CH10435;4;1;B
CH10438;5;2;D
CH10441;4;3;C
CH10443;4;6;A
CH10449;3;6;A
CH1045;3;3;F
CH10456;2;5;A
CH10457;2;6;B
CH10469;2;3;D
CH1047;3;6;B
CH10476;3;6;D
CH10478;5;6;C
CH10482;5;1;D
CH10485;5;3;C
CH10488;5;5;A
CH10492;2;3;B
CH10493;2;3;A
CH10497;4;4;B
CH105;3;4;A
CH1050;2;5;D
CH10507;3;4;F
CH10508;2;3;B
CH1051;3;3;F
CH10514;4;3;D
CH10517;3;4;A
CH10520;1;3;B
CH10521;2;6;A
CH1053;3;2;-99
CH10536;3;4;D
CH10537;3;3;D
CH10540;4;2;A
CH10546;4;4;A
CH10550;4;6;B
CH10557;4;3;-99
CH10558;4;3;B
CH10561;4;6;C
CH10569;4;3;B
CH10570;5;5;D
CH10572;3;5;D
CH10573;4;2;F
CH10576;3;6;A
CH10584;4;3;B
CH1059;1;5;A
CH10590;1;3;A
CH10593;2;5;C
CH10599;3;3;A
CH1060;3;5;A
CH10604;3;6;A
CH10605;2;6;B
CH1062;4;5;F
CH10631;2;6;A
CH10633;2;3;-99
CH10639;3;3;F
CH10641;2;6;B
CH10643;3;6;A
CH10648;5;6;A
CH1065;2;3;A
CH10658;1;4;B
CH10660;3;6;A
CH10666;4;5;B
CH1067;2;5;F
CH10672;2;3;C
CH10677;1;4;C
CH10682;3;3;C
CH10684;3;5;B
CH10689;5;4;-99
CH1069;3;5;C
CH10690;4;3;F
CH10691;5;5;D
CH10692;4;3;D
CH10698;5;5;A
CH107;3;6;A
CH10703;4;5;D
CH10705;3;5;A
CH10707;3;6;B
CH10708;1;3;HP
CH1071;2;3;D
CH10711;2;3;D
CH10713;1;3;B
CH10718;2;5;A
CH10719;3;3;C
CH10720;5;5;D
CH10721;3;5;-99
CH10722;3;6;A
CH10724;3;4;A
CH10733;3;3;F
CH10735;3;3;F
CH10737;3;6;D
CH10738;1;4;A
CH1074;2;5;A
CH10744;5;-99;HP
CH10746;4;5;F
CH10747;4;3;A
CH10757;1;5;B
CH10760;1;3;B
CH10761;5;6;C
CH10763;4;6;B
CH10768;5;5;C
CH10771;5;6;-99
CH10786;2;6;B
CH10787;2;6;A
CH10789;5;3;B
CH10790;4;6;B
